T_inst E_tot P Z
0.119888 -6.49055 -5.15962 -50.6317
0.119869 -6.49031 -5.15854 -50.6291
0.11985 -6.49011 -5.15741 -50.6262
0.119832 -6.48989 -5.15611 -50.6211
0.119815 -6.48971 -5.15476 -50.615
0.1198 -6.48947 -5.15319 -50.6057
0.119788 -6.48919 -5.15144 -50.5937
0.119777 -6.48885 -5.14948 -50.579
0.119768 -6.48844 -5.1473 -50.5616
0.119759 -6.48806 -5.14504 -50.5432
0.119749 -6.48762 -5.14258 -50.5231
0.119737 -6.48717 -5.13997 -50.5023
0.119725 -6.48676 -5.1373 -50.4813
0.11971 -6.48638 -5.13454 -50.4605
0.124675 -6.47844 -5.12712 -48.3809
0.124634 -6.47803 -5.12371 -48.3648
0.124593 -6.47727 -5.11943 -48.3403
0.124553 -6.47677 -5.11531 -48.317
0.124514 -6.47607 -5.11056 -48.287
0.124479 -6.47528 -5.10544 -48.2522
0.124449 -6.47441 -5.09995 -48.2122
0.124422 -6.47381 -5.09472 -48.173
0.124401 -6.47298 -5.08894 -48.1266
0.124384 -6.47208 -5.0829 -48.0758
0.124373 -6.47116 -5.07671 -48.0215
0.124368 -6.47027 -5.07052 -47.965
0.124368 -6.4694 -5.0643 -47.9062
0.124374 -6.46842 -5.05788 -47.8432
0.124386 -6.46763 -5.05182 -47.7813
0.124403 -6.46688 -5.04588 -47.7185
0.124424 -6.46606 -5.0399 -47.6538
0.124449 -6.46538 -5.03427 -47.5912
0.124475 -6.46475 -5.02883 -47.5297
0.124501 -6.46404 -5.02338 -47.4682
0.124527 -6.46338 -5.01818 -47.4092
0.124551 -6.46271 -5.01309 -47.3519
0.124574 -6.46204 -5.00814 -47.2966
0.124595 -6.46146 -5.00349 -47.2448
0.124614 -6.4607 -4.9987 -47.1924
0.124631 -6.4601 -4.99433 -47.1448
0.124647 -6.45961 -4.99029 -47.1006
0.124663 -6.45906 -4.98633 -47.0572
0.124679 -6.4584 -4.98236 -47.0137
0.124696 -6.45792 -4.97887 -46.9744
0.124714 -6.45739 -4.9755 -46.9357
0.124732 -6.45694 -4.97246 -46.9003
0.124749 -6.45663 -4.96985 -46.8691
0.124767 -6.45624 -4.9673 -46.8385
0.124783 -6.45583 -4.96493 -46.8101
0.124796 -6.45564 -4.96309 -46.7877
0.124806 -6.45546 -4.96145 -46.7684
0.124813 -6.45506 -4.95957 -46.7482
0.124816 -6.45471 -4.9579 -46.7313
0.124816 -6.45456 -4.95671 -46.7203
0.124811 -6.45427 -4.95535 -46.7092
0.124805 -6.45414 -4.95436 -46.7022
0.124797 -6.45373 -4.95297 -46.6921
0.124787 -6.45354 -4.952 -46.6866
0.124777 -6.45322 -4.95087 -46.6797
0.124768 -6.45294 -4.94986 -46.6736
0.124761 -6.45244 -4.94854 -46.6638
0.124757 -6.4521 -4.94754 -46.6559
0.124757 -6.45178 -4.94663 -46.6472
0.124762 -6.4513 -4.94554 -46.6352
0.129755 -6.44349 -4.94046 -44.7946
0.129745 -6.44325 -4.93972 -44.7912
0.129741 -6.44283 -4.93865 -44.7827
0.129743 -6.44256 -4.93782 -44.7746
0.129751 -6.44225 -4.93695 -44.764
0.129764 -6.44187 -4.936 -44.7508
0.129781 -6.44156 -4.93518 -44.7376
0.129803 -6.44123 -4.93441 -44.723
0.129828 -6.44099 -4.93386 -44.7093
0.129856 -6.44068 -4.93325 -44.6942
0.129887 -6.44052 -4.93299 -44.6812
0.129919 -6.44033 -4.93277 -44.6683
0.129952 -6.44013 -4.93262 -44.6557
0.129985 -6.44019 -4.93299 -44.6477
0.130017 -6.44015 -4.93327 -44.639
0.130049 -6.44014 -4.93368 -44.6318
0.130079 -6.44023 -4.93433 -44.6275
0.130106 -6.44018 -4.9348 -44.6223
0.130133 -6.44019 -4.93542 -44.619
0.130157 -6.4406 -4.93677 -44.6228
0.130179 -6.44081 -4.93784 -44.6248
0.130201 -6.44099 -4.93888 -44.6268
0.130222 -6.44119 -4.94001 -44.6298
0.130241 -6.44145 -4.94126 -44.6344
0.130258 -6.44179 -4.94267 -44.6416
0.13027 -6.44203 -4.94391 -44.6487
0.130278 -6.44221 -4.94505 -44.6562
0.13028 -6.44255 -4.94645 -44.6681
0.130275 -6.44293 -4.94787 -44.6825
0.130265 -6.44329 -4.94921 -44.698
0.130251 -6.4435 -4.95024 -44.7122
0.130233 -6.44393 -4.95159 -44.7306
0.130213 -6.44422 -4.95266 -44.7471
0.130194 -6.44452 -4.95372 -44.7631
0.130179 -6.44479 -4.95473 -44.7774
0.130169 -6.44501 -4.95567 -44.7893
0.130167 -6.4452 -4.95666 -44.7991
0.130175 -6.44538 -4.95775 -44.8063
0.130193 -6.44579 -4.95942 -44.8152
0.130221 -6.4461 -4.96113 -44.8209
0.13026 -6.44648 -4.96324 -44.8267
0.130306 -6.4468 -4.96552 -44.8312
0.130358 -6.44725 -4.96835 -44.839
0.130412 -6.44781 -4.97167 -44.8502
0.130466 -6.44845 -4.97542 -44.8656
0.130517 -6.4489 -4.97915 -44.8817
0.130562 -6.44973 -4.98377 -44.9079
0.130599 -6.45044 -4.9884 -44.9367
0.130627 -6.4513 -4.99344 -44.9725
0.130646 -6.45234 -4.99889 -45.0152
0.135655 -6.44574 -4.99991 -43.3618
0.135631 -6.4468 -5.0053 -43.4164
0.135597 -6.44774 -5.01031 -43.4706
0.135556 -6.44864 -5.01503 -43.5247
0.135508 -6.44949 -5.01942 -43.5782
0.135455 -6.45027 -5.0234 -43.6298
0.135397 -6.45101 -5.027 -43.6798
0.135334 -6.45157 -5.02995 -43.7257
0.135268 -6.45213 -5.03255 -43.7697
0.1352 -6.4526 -5.03464 -43.8101
0.135129 -6.45285 -5.03596 -43.8443
0.135058 -6.45293 -5.03663 -43.8732
0.134988 -6.45288 -5.0367 -43.8969
0.134919 -6.45268 -5.03613 -43.9142
0.134853 -6.45274 -5.03568 -43.9318
0.13479 -6.4526 -5.03453 -43.9422
0.134733 -6.45221 -5.03266 -43.9446
0.134681 -6.45179 -5.03046 -43.9422
0.134638 -6.45118 -5.02771 -43.9323
0.134603 -6.45069 -5.02497 -43.9198
0.134577 -6.44996 -5.02168 -43.8994
0.134561 -6.44931 -5.0184 -43.8761
0.134554 -6.44878 -5.01526 -43.851
0.134556 -6.44811 -5.01187 -43.8204
0.134567 -6.44752 -5.00862 -43.7885
0.134585 -6.44683 -5.00525 -43.7533
0.134609 -6.44606 -5.00179 -43.7152
0.134638 -6.44546 -4.99871 -43.6787
0.134671 -6.4449 -4.9958 -43.6427
0.134705 -6.44431 -4.99295 -43.6067
0.134739 -6.44385 -4.99039 -43.5735
0.134769 -6.4435 -4.98808 -43.5437
0.134793 -6.44317 -4.98586 -43.5165
0.134809 -6.44297 -4.98386 -43.4938
0.134816 -6.44261 -4.98154 -43.4714
0.134813 -6.44234 -4.97929 -43.4528
0.134799 -6.44213 -4.97703 -43.4374
0.134775 -6.44195 -4.97463 -43.4244
0.13474 -6.44155 -4.97169 -43.4098
0.134698 -6.44115 -4.96849 -43.3956
0.134649 -6.44075 -4.96508 -43.3814
0.134598 -6.44028 -4.96131 -43.365
0.134547 -6.43968 -4.95709 -43.3446
0.134499 -6.43896 -4.95248 -43.3195
0.134457 -6.43819 -4.94762 -43.2905
0.134424 -6.43755 -4.94286 -43.2598
0.134401 -6.43683 -4.93794 -43.224
0.134391 -6.43608 -4.93297 -43.1838
0.134393 -6.43515 -4.92778 -43.1374
0.134409 -6.43426 -4.9228 -43.0888
0.139415 -6.42588 -4.91361 -41.4642
0.139431 -6.42512 -4.909 -41.4204
0.139457 -6.42432 -4.9045 -41.3746
0.139492 -6.42354 -4.90024 -41.3284
0.139532 -6.42291 -4.89647 -41.2847
0.139577 -6.42229 -4.89296 -41.2419
0.139623 -6.42169 -4.88975 -41.2014
0.139667 -6.42122 -4.88702 -41.1653
0.139709 -6.42076 -4.88455 -41.132
0.139748 -6.42025 -4.88223 -41.101
0.139782 -6.41978 -4.88017 -41.0737
0.139811 -6.41951 -4.87864 -41.0524
0.139834 -6.41913 -4.87706 -41.0325
0.13985 -6.41898 -4.87598 -41.0185
0.139862 -6.41862 -4.87464 -41.0038
0.139868 -6.41855 -4.87383 -40.9951
0.139871 -6.41848 -4.87307 -40.9879
0.139872 -6.41825 -4.87205 -40.979
0.139872 -6.41804 -4.87105 -40.9708
0.13987 -6.41794 -4.87024 -40.9643
0.139869 -6.41769 -4.86914 -40.9555
0.13987 -6.41755 -4.86821 -40.9474
0.139873 -6.41751 -4.86742 -40.9398
0.139879 -6.41733 -4.8664 -40.9296
0.139886 -6.41708 -4.86522 -40.9176
0.139896 -6.41694 -4.86424 -40.9064
0.139909 -6.41664 -4.86296 -40.8918
0.139922 -6.41656 -4.86205 -40.8803
0.139936 -6.41648 -4.86113 -40.8686
0.139948 -6.41632 -4.86006 -40.856
0.139957 -6.41604 -4.85873 -40.8423
0.139962 -6.41611 -4.85795 -40.8341
0.139963 -6.41586 -4.85658 -40.8223
0.13996 -6.41594 -4.85567 -40.8157
0.139952 -6.41584 -4.85438 -40.8072
0.13994 -6.41602 -4.85345 -40.8027
0.139927 -6.41591 -4.85197 -40.794
0.139914 -6.41582 -4.85044 -40.7852
0.139901 -6.4155 -4.84847 -40.7722
0.139893 -6.41533 -4.84674 -40.7602
0.139888 -6.41528 -4.84522 -40.7486
0.13989 -6.41508 -4.84348 -40.7335
0.139898 -6.41484 -4.84177 -40.7167
0.139913 -6.4147 -4.84036 -40.7005
0.139934 -6.41457 -4.83911 -40.684
0.139961 -6.41447 -4.8381 -40.6677
0.139992 -6.41432 -4.83721 -40.6512
0.140025 -6.4143 -4.83678 -40.638
0.140059 -6.41447 -4.83688 -40.6289
0.140091 -6.41456 -4.83707 -40.6211
0.14511 -6.40715 -4.83311 -39.1841
0.14511 -6.40745 -4.83378 -39.1895
0.145105 -6.40765 -4.83431 -39.1953
0.145094 -6.40796 -4.83501 -39.2039
0.145077 -6.40792 -4.83506 -39.209
0.145055 -6.40792 -4.83515 -39.2157
0.14503 -6.408 -4.83532 -39.2236
0.145005 -6.40808 -4.83542 -39.2313
0.144981 -6.40798 -4.83515 -39.2355
0.144961 -6.40795 -4.83496 -39.2395
0.144947 -6.40774 -4.83444 -39.2391
0.14494 -6.40762 -4.83408 -39.2378
0.144943 -6.40761 -4.83393 -39.2361
0.144953 -6.40744 -4.83358 -39.2303
0.144971 -6.40741 -4.83352 -39.225
0.144994 -6.40739 -4.83357 -39.2191
0.145019 -6.40728 -4.83356 -39.2123
0.145043 -6.40739 -4.83398 -39.2092
0.145063 -6.40755 -4.83453 -39.2084
0.145075 -6.40768 -4.83504 -39.2092
0.145078 -6.40774 -4.83539 -39.2112
0.14507 -6.40782 -4.83569 -39.2158
0.14505 -6.40817 -4.83631 -39.2262
0.145019 -6.40808 -4.836 -39.2321
0.144979 -6.40817 -4.83579 -39.2412
0.144931 -6.4081 -4.83506 -39.2485
