Time nR nF
3.18 25.4275 99.7533
3.19 25.4292 98.9592
3.2 25.4317 98.1713
3.21 25.4349 97.3898
3.22 25.439 96.6145
3.23 25.4438 95.8453
3.24 25.4494 95.0824
3.25 25.4558 94.3255
3.26 25.4629 93.5746
3.27 25.4708 92.8298
3.28 25.4794 92.0909
3.29 25.4888 91.358
3.3 25.4989 90.6309
3.31 25.5098 89.9096
3.32 25.5213 89.1941
3.33 25.5337 88.4844
3.34 25.5467 87.7803
3.35 25.5604 87.0819
3.36 25.5749 86.3891
3.37 25.5901 85.7018
3.38 25.606 85.0201
3.39 25.6225 84.3439
3.4 25.6398 83.673
3.41 25.6578 83.0076
3.42 25.6764 82.3476
3.43 25.6957 81.6928
3.44 25.7157 81.0433
3.45 25.7364 80.399
3.46 25.7578 79.7599
3.47 25.7798 79.126
3.48 25.8025 78.4972
3.49 25.8259 77.8734
3.5 25.8499 77.2547
3.51 25.8745 76.641
3.52 25.8998 76.0322
3.53 25.9258 75.4283
3.54 25.9524 74.8293
3.55 25.9797 74.2351
3.56 26.0075 73.6457
3.57 26.0361 73.0611
3.58 26.0652 72.4812
3.59 26.095 71.906
3.6 26.1254 71.3355
3.61 26.1565 70.7695
3.62 26.1881 70.2082
3.63 26.2204 69.6513
3.64 26.2533 69.099
3.65 26.2868 68.5512
3.66 26.3209 68.0077
3.67 26.3557 67.4687
3.68 26.391 66.9341
3.69 26.4269 66.4037
3.7 26.4635 65.8777
3.71 26.5006 65.3559
3.72 26.5384 64.8384
3.73 26.5767 64.325
3.74 26.6157 63.8159
3.75 26.6552 63.3108
3.76 26.6953 62.8098
3.77 26.7361 62.3129
3.78 26.7774 61.8201
3.79 26.8192 61.3312
3.8 26.8617 60.8463
3.81 26.9048 60.3653
3.82 26.9484 59.8882
3.83 26.9926 59.415
3.84 27.0374 58.9457
3.85 27.0828 58.4801
3.86 27.1287 58.0184
3.87 27.1753 57.5604
3.88 27.2223 57.1061
3.89 27.27 56.6555
3.9 27.3182 56.2085
3.91 27.367 55.7652
3.92 27.4164 55.3255
3.93 27.4663 54.8894
3.94 27.5168 54.4568
3.95 27.5679 54.0277
3.96 27.6195 53.6021
3.97 27.6717 53.18
3.98 27.7245 52.7613
3.99 27.7778 52.346
4 27.8316 51.9341
4.01 27.8861 51.5256
4.02 27.941 51.1203
4.03 27.9966 50.7184
4.04 28.0527 50.3197
4.05 28.1093 49.9243
4.06 28.1665 49.5321
4.07 28.2243 49.1431
4.08 28.2826 48.7573
4.09 28.3415 48.3746
4.1 28.4009 47.995
4.11 28.4609 47.6185
4.12 28.5214 47.245
4.13 28.5824 46.8746
4.14 28.6441 46.5072
4.15 28.7062 46.1428
4.16 28.769 45.7814
4.17 28.8322 45.4229
4.18 28.896 45.0674
4.19 28.9604 44.7147
4.2 29.0253 44.3649
4.21 29.0908 44.018
4.22 29.1568 43.6738
4.23 29.2233 43.3325
4.24 29.2904 42.994
4.25 29.3581 42.6582
4.26 29.4263 42.3252
4.27 29.495 41.9948
4.28 29.5643 41.6672
4.29 29.6341 41.3422
4.3 29.7045 41.0199
4.31 29.7754 40.7002
4.32 29.8469 40.3831
4.33 29.9189 40.0686
4.34 29.9915 39.7566
4.35 30.0646 39.4472
4.36 30.1382 39.1403
4.37 30.2124 38.8359
4.38 30.2872 38.534
4.39 30.3625 38.2345
4.4 30.4383 37.9375
4.41 30.5147 37.6429
4.42 30.5917 37.3507
4.43 30.6692 37.0609
4.44 30.7472 36.7735
4.45 30.8258 36.4883
4.46 30.9049 36.2055
4.47 30.9846 35.9251
4.48 31.0648 35.6468
4.49 31.1456 35.3709
4.5 31.2269 35.0972
4.51 31.3088 34.8257
4.52 31.3913 34.5565
4.53 31.4743 34.2894
4.54 31.5578 34.0245
4.55 31.6419 33.7618
4.56 31.7265 33.5012
4.57 31.8117 33.2427
4.58 31.8975 32.9864
4.59 31.9838 32.7321
4.6 32.0707 32.4799
4.61 32.1581 32.2297
4.62 32.2461 31.9816
4.63 32.3346 31.7355
4.64 32.4237 31.4914
4.65 32.5134 31.2493
4.66 32.6036 31.0092
4.67 32.6943 30.771
4.68 32.7857 30.5347
4.69 32.8776 30.3004
4.7 32.97 30.068
4.71 33.0631 29.8374
4.72 33.1567 29.6088
4.73 33.2508 29.382
4.74 33.3455 29.157
4.75 33.4408 28.9339
4.76 33.5367 28.7126
4.77 33.6331 28.4931
4.78 33.7301 28.2754
4.79 33.8277 28.0594
4.8 33.9258 27.8452
4.81 34.0245 27.6328
4.82 34.1238 27.422
4.83 34.2236 27.213
4.84 34.3241 27.0057
4.85 34.4251 26.8
4.86 34.5267 26.5961
4.87 34.6288 26.3938
4.88 34.7316 26.1931
4.89 34.8349 25.9941
4.9 34.9388 25.7967
4.91 35.0433 25.6008
4.92 35.1484 25.4066
4.93 35.254 25.214
4.94 35.3603 25.0229
4.95 35.4671 24.8334
4.96 35.5746 24.6454
4.97 35.6826 24.4589
4.98 35.7912 24.2739
4.99 35.9004 24.0905
5 36.0102 23.9085
5.01 36.1206 23.728
5.02 36.2315 23.549
5.03 36.3431 23.3714
5.04 36.4553 23.1953
5.05 36.5681 23.0206
5.06 36.6815 22.8473
5.07 36.7955 22.6754
5.08 36.9101 22.5049
5.09 37.0253 22.3358
5.1 37.1411 22.168
5.11 37.2575 22.0017
5.12 37.3745 21.8366
5.13 37.4922 21.6729
5.14 37.6104 21.5106
5.15 37.7293 21.3495
5.16 37.8488 21.1897
5.17 37.9689 21.0313
5.18 38.0896 20.8741
5.19 38.2109 20.7182
5.2 38.3329 20.5635
5.21 38.4555 20.4102
5.22 38.5787 20.258
5.23 38.7026 20.1071
5.24 38.827 19.9574
5.25 38.9521 19.8089
5.26 39.0779 19.6616
5.27 39.2042 19.5155
5.28 39.3312 19.3706
5.29 39.4589 19.2268
5.3 39.5872 19.0842
5.31 39.7161 18.9428
5.32 39.8456 18.8025
5.33 39.9758 18.6634
5.34 40.1067 18.5253
5.35 40.2382 18.3884
5.36 40.3703 18.2526
5.37 40.5031 18.1179
5.38 40.6366 17.9842
5.39 40.7707 17.8517
5.4 40.9055 17.7202
5.41 41.0409 17.5898
5.42 41.177 17.4604
5.43 41.3137 17.3321
5.44 41.4511 17.2048
5.45 41.5892 17.0785
5.46 41.728 16.9532
5.47 41.8674 16.829
5.48 42.0075 16.7057
5.49 42.1482 16.5835
5.5 42.2897 16.4622
5.51 42.4318 16.3419
5.52 42.5746 16.2226
5.53 42.718 16.1043
5.54 42.8622 15.9869
5.55 43.007 15.8704
5.56 43.1526 15.7549
5.57 43.2988 15.6403
5.58 43.4457 15.5266
5.59 43.5933 15.4138
5.6 43.7416 15.302
5.61 43.8906 15.191
5.62 44.0403 15.0809
5.63 44.1907 14.9718
5.64 44.3419 14.8635
5.65 44.4937 14.756
5.66 44.6462 14.6495
5.67 44.7994 14.5437
5.68 44.9534 14.4389
5.69 45.1081 14.3348
5.7 45.2634 14.2317
5.71 45.4195 14.1293
5.72 45.5764 14.0278
5.73 45.7339 13.927
5.74 45.8922 13.8271
5.75 46.0512 13.728
5.76 46.211 13.6297
5.77 46.3714 13.5321
5.78 46.5326 13.4354
5.79 46.6946 13.3394
5.8 46.8573 13.2442
5.81 47.0207 13.1497
5.82 47.1849 13.056
5.83 47.3498 12.9631
5.84 47.5155 12.8709
5.85 47.6819 12.7794
5.86 47.8491 12.6887
5.87 48.0171 12.5987
5.88 48.1858 12.5094
5.89 48.3553 12.4208
5.9 48.5255 12.3329
5.91 48.6965 12.2458
5.92 48.8683 12.1593
5.93 49.0408 12.0735
5.94 49.2141 11.9884
5.95 49.3882 11.904
5.96 49.5631 11.8203
5.97 49.7388 11.7372
5.98 49.9152 11.6548
5.99 50.0925 11.5731
6 50.2705 11.492
6.01 50.4493 11.4115
6.02 50.629 11.3317
6.03 50.8094 11.2525
6.04 50.9906 11.174
6.05 51.1726 11.0961
6.06 51.3555 11.0188
6.07 51.5391 10.9421
6.08 51.7236 10.866
6.09 51.9089 10.7905
6.1 52.095 10.7157
6.11 52.2819 10.6414
6.12 52.4696 10.5677
6.13 52.6582 10.4946
6.14 52.8476 10.4221
6.15 53.0378 10.3502
6.16 53.2289 10.2788
6.17 53.4208 10.208
6.18 53.6135 10.1378
6.19 53.8071 10.0681
6.2 54.0016 9.99899
6.21 54.1969 9.93041
6.22 54.393 9.86238
6.23 54.59 9.79489
6.24 54.7879 9.72793
6.25 54.9866 9.66151
6.26 55.1862 9.59561
6.27 55.3866 9.53023
6.28 55.588 9.46538
6.29 55.7902 9.40103
6.3 55.9932 9.3372
6.31 56.1972 9.27387
6.32 56.402 9.21104
6.33 56.6078 9.14872
6.34 56.8144 9.08688
6.35 57.0219 9.02553
6.36 57.2303 8.96467
6.37 57.4396 8.90429
6.38 57.6498 8.84439
6.39 57.861 8.78496
6.4 58.073 8.72601
6.41 58.2859 8.66751
6.42 58.4998 8.60948
6.43 58.7145 8.55191
6.44 58.9302 8.4948
6.45 59.1469 8.43813
6.46 59.3644 8.38191
6.47 59.5829 8.32614
6.48 59.8023 8.27081
6.49 60.0227 8.21591
6.5 60.244 8.16144
6.51 60.4662 8.10741
6.52 60.6894 8.0538
6.53 60.9136 8.00062
6.54 61.1387 7.94785
6.55 61.3647 7.8955
6.56 61.5917 7.84356
6.57 61.8197 7.79203
6.58 62.0487 7.74091
6.59 62.2786 7.69019
6.6 62.5095 7.63987
6.61 62.7414 7.58994
6.62 62.9743 7.54041
6.63 63.2082 7.49127
6.64 63.443 7.44251
6.65 63.6789 7.39414
6.66 63.9157 7.34615
6.67 64.1536 7.29854
6.68 64.3924 7.2513
6.69 64.6323 7.20443
6.7 64.8732 7.15793
6.71 65.1151 7.11179
6.72 65.358 7.06602
6.73 65.6019 7.02061
6.74 65.8469 6.97555
6.75 66.0929 6.93085
6.76 66.34 6.8865
6.77 66.588 6.8425
6.78 66.8372 6.79884
6.79 67.0873 6.75552
6.8 67.3386 6.71255
6.81 67.5908 6.66991
6.82 67.8442 6.62761
6.83 68.0986 6.58563
6.84 68.354 6.54399
6.85 68.6106 6.50267
6.86 68.8682 6.46168
6.87 69.1269 6.42101
6.88 69.3866 6.38065
6.89 69.6475 6.34062
6.9 69.9094 6.30089
6.91 70.1725 6.26148
6.92 70.4366 6.22238
6.93 70.7019 6.18358
6.94 70.9682 6.14508
6.95 71.2357 6.10689
6.96 71.5043 6.069
6.97 71.774 6.0314
6.98 72.0448 5.9941
6.99 72.3168 5.95709
7 72.5899 5.92036
7.01 72.8641 5.88393
7.02 73.1394 5.84778
7.03 73.416 5.81191
7.04 73.6936 5.77633
7.05 73.9724 5.74102
7.06 74.2524 5.70598
7.07 74.5335 5.67123
7.08 74.8158 5.63674
7.09 75.0993 5.60252
7.1 75.3839 5.56857
7.11 75.6698 5.53488
7.12 75.9568 5.50146
7.13 76.245 5.4683
7.14 76.5344 5.4354
7.15 76.825 5.40275
7.16 77.1168 5.37036
7.17 77.4098 5.33823
7.18 77.704 5.30634
7.19 77.9994 5.2747
7.2 78.2961 5.24331
7.21 78.5939 5.21217
7.22 78.893 5.18127
