Time N1 N2 N3
13.65 25.5592 7.93613 22.2105
13.7 25.5251 7.4937 22.2708
13.75 25.5462 7.07385 22.3217
13.8 25.6189 6.67677 22.3635
13.85 25.7402 6.30233 22.3968
13.9 25.9073 5.95017 22.422
13.95 26.1174 5.61973 22.4396
14 26.3684 5.31034 22.45
14.05 26.658 5.02121 22.4537
14.1 26.9844 4.75146 22.4511
14.15 27.3456 4.50019 22.4427
14.2 27.74 4.26648 22.4288
14.25 28.1661 4.04939 22.4099
14.3 28.6223 3.848 22.3863
14.35 29.1072 3.6614 22.3584
14.4 29.6196 3.48872 22.3266
14.45 30.1581 3.32912 22.291
14.5 30.7215 3.18178 22.2522
14.55 31.3085 3.04596 22.2102
14.6 31.9181 2.92094 22.1654
14.65 32.5489 2.80604 22.1181
14.7 33.1998 2.70064 22.0685
14.75 33.8696 2.60416 22.0167
14.8 34.5572 2.51605 21.963
14.85 35.2613 2.43581 21.9077
14.9 35.9806 2.363 21.8507
14.95 36.7141 2.2972 21.7925
15 37.4603 2.23802 21.733
15.05 38.218 2.18513 21.6725
15.1 38.9859 2.13821 21.611
15.15 39.7627 2.09699 21.5488
15.2 40.5468 2.06122 21.486
15.25 41.3371 2.0307 21.4226
15.3 42.1319 2.00524 21.3588
15.35 42.9298 1.98468 21.2947
15.4 43.7294 1.96889 21.2304
15.45 44.529 1.95776 21.166
15.5 45.3271 1.95121 21.1016
15.55 46.1222 1.9492 21.0374
15.6 46.9125 1.95167 20.9733
15.65 47.6965 1.95862 20.9095
15.7 48.4725 1.97006 20.8461
15.75 49.2387 1.98602 20.7832
15.8 49.9934 2.00655 20.7209
15.85 50.735 2.03171 20.6592
15.9 51.4615 2.0616 20.5983
15.95 52.1713 2.09633 20.5382
16 52.8625 2.13601 20.479
16.05 53.5333 2.1808 20.4209
16.1 54.182 2.23084 20.3639
16.15 54.8065 2.28631 20.3082
16.2 55.4052 2.34739 20.2537
16.25 55.9761 2.41428 20.2008
16.3 56.5174 2.48718 20.1493
16.35 57.0273 2.56631 20.0995
16.4 57.504 2.65186 20.0515
16.45 57.9455 2.74406 20.0054
16.5 58.3502 2.84312 19.9613
16.55 58.7162 2.94922 19.9193
16.6 59.042 3.06256 19.8796
16.65 59.3257 3.18329 19.8424
16.7 59.566 3.31155 19.8076
16.75 59.7612 3.44743 19.7755
16.8 59.91 3.59098 19.7462
16.85 60.0112 3.74219 19.7199
16.9 60.0637 3.90101 19.6967
16.95 60.0666 4.06729 19.6767
17 60.0191 4.24081 19.66
17.05 59.9208 4.42126 19.6469
17.1 59.7714 4.60822 19.6373
17.15 59.571 4.80117 19.6315
17.2 59.3199 4.99947 19.6295
17.25 59.0187 5.20237 19.6315
17.3 58.6686 5.40899 19.6375
17.35 58.2707 5.61834 19.6476
17.4 57.8269 5.82929 19.6618
17.45 57.3393 6.04063 19.6802
17.5 56.8103 6.25104 19.7028
17.55 56.2427 6.45912 19.7295
17.6 55.6396 6.6634 19.7603
17.65 55.0046 6.86238 19.7952
17.7 54.3412 7.05453 19.834
17.75 53.6536 7.23835 19.8767
17.8 52.9457 7.41236 19.923
17.85 52.2218 7.57515 19.9727
17.9 51.4863 7.72541 20.0257
17.95 50.7435 7.86196 20.0818
18 49.9977 7.98375 20.1406
18.05 49.2532 8.08989 20.2019
