Time nR nF
5.1 59.2163 22.3041
5.11 59.4008 22.1568
5.12 59.5862 22.0106
5.13 59.7725 21.8655
5.14 59.9598 21.7216
5.15 60.148 21.5787
5.16 60.3371 21.437
5.17 60.5272 21.2963
5.18 60.7182 21.1568
5.19 60.9102 21.0183
5.2 61.1031 20.8809
5.21 61.297 20.7445
5.22 61.4918 20.6092
5.23 61.6875 20.4749
5.24 61.8842 20.3417
5.25 62.0819 20.2095
5.26 62.2805 20.0783
5.27 62.4801 19.9481
5.28 62.6806 19.8189
5.29 62.8822 19.6907
5.3 63.0846 19.5635
5.31 63.2881 19.4373
5.32 63.4925 19.3121
5.33 63.6979 19.1878
5.34 63.9043 19.0645
5.35 64.1117 18.9421
5.36 64.3201 18.8207
5.37 64.5294 18.7002
5.38 64.7398 18.5806
5.39 64.9511 18.4619
5.4 65.1635 18.3442
5.41 65.3768 18.2274
5.42 65.5911 18.1114
5.43 65.8065 17.9964
5.44 66.0229 17.8823
5.45 66.2402 17.769
5.46 66.4586 17.6566
5.47 66.678 17.545
5.48 66.8985 17.4343
5.49 67.1199 17.3245
5.5 67.3424 17.2155
5.51 67.5659 17.1074
5.52 67.7904 17.0001
5.53 68.016 16.8936
5.54 68.2426 16.7879
5.55 68.4703 16.683
5.56 68.699 16.579
5.57 68.9288 16.4757
5.58 69.1596 16.3733
5.59 69.3915 16.2716
5.6 69.6244 16.1707
5.61 69.8584 16.0706
5.62 70.0935 15.9713
5.63 70.3296 15.8727
5.64 70.5668 15.7748
5.65 70.8051 15.6778
5.66 71.0444 15.5815
5.67 71.2849 15.4859
5.68 71.5264 15.391
5.69 71.769 15.2969
5.7 72.0127 15.2035
5.71 72.2575 15.1108
5.72 72.5034 15.0189
5.73 72.7505 14.9276
5.74 72.9986 14.837
5.75 73.2478 14.7472
5.76 73.4981 14.658
5.77 73.7496 14.5695
5.78 74.0022 14.4817
5.79 74.2559 14.3946
5.8 74.5107 14.3081
5.81 74.7667 14.2223
5.82 75.0238 14.1372
5.83 75.282 14.0527
5.84 75.5414 13.9689
5.85 75.8019 13.8857
5.86 76.0636 13.8031
5.87 76.3264 13.7212
5.88 76.5904 13.6399
5.89 76.8556 13.5593
5.9 77.1219 13.4792
5.91 77.3894 13.3998
5.92 77.6581 13.321
5.93 77.9279 13.2428
5.94 78.1989 13.1652
5.95 78.4712 13.0882
5.96 78.7446 13.0117
5.97 79.0191 12.9359
5.98 79.2949 12.8607
5.99 79.5719 12.786
6 79.8501 12.7119
6.01 80.1295 12.6384
6.02 80.4101 12.5654
6.03 80.692 12.493
6.04 80.975 12.4212
6.05 81.2593 12.3499
6.06 81.5448 12.2792
6.07 81.8316 12.209
6.08 82.1195 12.1394
6.09 82.4088 12.0702
6.1 82.6992 12.0017
6.11 82.991 11.9336
6.12 83.2839 11.8661
6.13 83.5782 11.7991
6.14 83.8737 11.7326
6.15 84.1704 11.6666
6.16 84.4685 11.6012
6.17 84.7678 11.5362
6.18 85.0684 11.4717
6.19 85.3703 11.4078
6.2 85.6734 11.3443
6.21 85.9779 11.2813
6.22 86.2837 11.2188
6.23 86.5907 11.1568
6.24 86.8991 11.0953
6.25 87.2088 11.0342
6.26 87.5198 10.9737
6.27 87.8321 10.9135
6.28 88.1458 10.8539
6.29 88.4608 10.7947
6.3 88.7771 10.736
6.31 89.0947 10.6777
6.32 89.4137 10.6199
6.33 89.7341 10.5625
6.34 90.0558 10.5056
6.35 90.3788 10.4491
6.36 90.7033 10.3931
6.37 91.029 10.3374
6.38 91.3562 10.2823
6.39 91.6848 10.2275
6.4 92.0147 10.1732
6.41 92.346 10.1193
6.42 92.6787 10.0658
6.43 93.0128 10.0127
6.44 93.3483 9.96007
6.45 93.6852 9.90782
6.46 94.0235 9.85598
6.47 94.3632 9.80455
6.48 94.7044 9.75352
6.49 95.047 9.70288
6.5 95.391 9.65264
6.51 95.7365 9.60279
6.52 96.0833 9.55334
6.53 96.4317 9.50427
6.54 96.7815 9.45558
6.55 97.1327 9.40728
6.56 97.4854 9.35935
6.57 97.8396 9.3118
6.58 98.1953 9.26462
6.59 98.5524 9.21781
6.6 98.911 9.17137
6.61 99.2711 9.1253
6.62 99.6327 9.07959
6.63 99.9958 9.03424
6.64 100.36 8.98924
6.65 100.727 8.9446
6.66 101.094 8.90032
6.67 101.463 8.85638
6.68 101.834 8.81279
6.69 102.206 8.76954
6.7 102.58 8.72664
6.71 102.955 8.68408
6.72 103.332 8.64185
6.73 103.71 8.59996
6.74 104.09 8.5584
6.75 104.472 8.51718
6.76 104.855 8.47628
6.77 105.24 8.4357
6.78 105.626 8.39546
6.79 106.014 8.35553
6.8 106.403 8.31592
6.81 106.794 8.27663
6.82 107.187 8.23765
6.83 107.581 8.19899
6.84 107.977 8.16063
6.85 108.374 8.12259
6.86 108.773 8.08485
6.87 109.174 8.04741
6.88 109.577 8.01028
6.89 109.981 7.97345
6.9 110.386 7.93691
6.91 110.794 7.90067
6.92 111.203 7.86473
6.93 111.613 7.82907
6.94 112.026 7.79371
6.95 112.44 7.75863
6.96 112.855 7.72384
6.97 113.273 7.68934
6.98 113.692 7.65511
6.99 114.113 7.62117
7 114.535 7.5875
7.01 114.959 7.55412
7.02 115.385 7.521
7.03 115.813 7.48816
7.04 116.242 7.45559
7.05 116.674 7.42329
7.06 117.107 7.39126
7.07 117.541 7.3595
7.08 117.978 7.32799
7.09 118.416 7.29675
7.1 118.856 7.26578
7.11 119.298 7.23506
7.12 119.741 7.20459
7.13 120.187 7.17439
7.14 120.634 7.14444
7.15 121.083 7.11474
7.16 121.533 7.08529
7.17 121.986 7.05609
7.18 122.441 7.02714
7.19 122.897 6.99843
7.2 123.355 6.96997
7.21 123.815 6.94175
7.22 124.277 6.91378
7.23 124.74 6.88604
7.24 125.206 6.85855
7.25 125.673 6.83129
7.26 126.143 6.80426
7.27 126.614 6.77748
7.28 127.087 6.75092
7.29 127.562 6.72459
7.3 128.039 6.6985
7.31 128.517 6.67263
7.32 128.998 6.647
7.33 129.481 6.62158
7.34 129.965 6.5964
7.35 130.452 6.57143
7.36 130.941 6.54669
7.37 131.431 6.52217
7.38 131.923 6.49787
7.39 132.418 6.47379
7.4 132.914 6.44992
7.41 133.413 6.42627
7.42 133.913 6.40283
7.43 134.415 6.37961
7.44 134.92 6.3566
7.45 135.426 6.3338
7.46 135.934 6.31121
7.47 136.445 6.28883
7.48 136.957 6.26666
7.49 137.472 6.24469
7.5 137.988 6.22293
