Time n1 n2
37.5 4.17942e-06 150
37.6 3.97559e-06 150
37.7 3.78169e-06 150
37.8 3.59726e-06 150
37.9 3.42182e-06 150
38 3.25493e-06 150
38.1 3.09619e-06 150
38.2 2.94519e-06 150
38.3 2.80155e-06 150
38.4 2.66491e-06 150
38.5 2.53495e-06 150
38.6 2.41131e-06 150
38.7 2.29371e-06 150
38.8 2.18185e-06 150
38.9 2.07544e-06 150
39 1.97422e-06 150
39.1 1.87793e-06 150
39.2 1.78635e-06 150
39.3 1.69922e-06 150
39.4 1.61635e-06 150
39.5 1.53752e-06 150
39.6 1.46254e-06 150
39.7 1.39121e-06 150
39.8 1.32336e-06 150
39.9 1.25882e-06 150
40 1.19742e-06 150
40.1 1.13902e-06 150
40.2 1.08347e-06 150
40.3 1.03063e-06 150
40.4 9.80367e-07 150
40.5 9.32554e-07 150
40.6 8.87073e-07 150
40.7 8.4381e-07 150
40.8 8.02657e-07 150
40.9 7.63511e-07 150
41 7.26274e-07 150
41.1 6.90853e-07 150
41.2 6.5716e-07 150
41.3 6.2511e-07 150
41.4 5.94623e-07 150
41.5 5.65623e-07 150
41.6 5.38037e-07 150
41.7 5.11797e-07 150
41.8 4.86836e-07 150
41.9 4.63093e-07 150
42 4.40508e-07 150
42.1 4.19024e-07 150
42.2 3.98588e-07 150
42.3 3.79148e-07 150
42.4 3.60657e-07 150
42.5 3.43068e-07 150
42.6 3.26336e-07 150
42.7 3.1042e-07 150
42.8 2.95281e-07 150
42.9 2.8088e-07 150
43 2.67181e-07 150
43.1 2.54151e-07 150
43.2 2.41756e-07 150
43.3 2.29965e-07 150
43.4 2.1875e-07 150
43.5 2.08081e-07 150
43.6 1.97933e-07 150
43.7 1.88279e-07 150
43.8 1.79097e-07 150
43.9 1.70362e-07 150
44 1.62054e-07 150
44.1 1.5415e-07 150
44.2 1.46632e-07 150
44.3 1.39481e-07 150
44.4 1.32678e-07 150
44.5 1.26208e-07 150
44.6 1.20052e-07 150
44.7 1.14197e-07 150
44.8 1.08628e-07 150
44.9 1.0333e-07 150
45 9.82905e-08 150
45.1 9.34968e-08 150
45.2 8.89369e-08 150
45.3 8.45994e-08 150
45.4 8.04735e-08 150
45.5 7.65487e-08 150
45.6 7.28154e-08 150
45.7 6.92642e-08 150
45.8 6.58861e-08 150
45.9 6.26728e-08 150
46 5.96162e-08 150
46.1 5.67087e-08 150
46.2 5.3943e-08 150
46.3 5.13122e-08 150
46.4 4.88096e-08 150
46.5 4.64292e-08 150
46.6 4.41648e-08 150
46.7 4.20108e-08 150
46.8 3.99619e-08 150
46.9 3.8013e-08 150
47 3.61591e-08 150
47.1 3.43956e-08 150
47.2 3.27181e-08 150
47.3 3.11224e-08 150
47.4 2.96045e-08 150
47.5 2.81607e-08 150
47.6 2.67873e-08 150
47.7 2.54809e-08 150
47.8 2.42381e-08 150
47.9 2.3056e-08 150
48 2.19316e-08 150
48.1 2.0862e-08 150
48.2 1.98445e-08 150
48.3 1.88767e-08 150
48.4 1.79561e-08 150
48.5 1.70803e-08 150
48.6 1.62473e-08 150
48.7 1.54549e-08 150
48.8 1.47012e-08 150
48.9 1.39842e-08 150
49 1.33022e-08 150
49.1 1.26534e-08 150
49.2 1.20363e-08 150
49.3 1.14493e-08 150
49.4 1.08909e-08 150
49.5 1.03597e-08 150
49.6 9.8545e-09 150
49.7 9.37389e-09 150
49.8 8.91672e-09 150
49.9 8.48184e-09 150
