Time nR nF
3.27 20.6807 81.8222
3.28 20.6939 81.1563
3.29 20.7076 80.4958
3.3 20.7219 79.8407
3.31 20.7367 79.191
3.32 20.7521 78.5466
3.33 20.7681 77.9075
3.34 20.7845 77.2737
3.35 20.8015 76.6451
3.36 20.8191 76.0216
3.37 20.8371 75.4033
3.38 20.8557 74.79
3.39 20.8748 74.1818
3.4 20.8945 73.5786
3.41 20.9146 72.9804
3.42 20.9353 72.3871
3.43 20.9565 71.7986
3.44 20.9782 71.2151
3.45 21.0004 70.6363
3.46 21.0231 70.0623
3.47 21.0463 69.493
3.48 21.0701 68.9284
3.49 21.0943 68.3684
3.5 21.119 67.8131
3.51 21.1442 67.2624
3.52 21.1699 66.7161
3.53 21.1961 66.1744
3.54 21.2227 65.6372
3.55 21.2499 65.1044
3.56 21.2776 64.576
3.57 21.3057 64.0519
3.58 21.3343 63.5322
3.59 21.3634 63.0168
3.6 21.3929 62.5056
3.61 21.423 61.9986
3.62 21.4535 61.4959
3.63 21.4844 60.9973
3.64 21.5159 60.5028
3.65 21.5478 60.0123
3.66 21.5802 59.526
3.67 21.613 59.0436
3.68 21.6463 58.5653
3.69 21.6801 58.0909
3.7 21.7143 57.6204
3.71 21.749 57.1538
3.72 21.7841 56.691
3.73 21.8197 56.2321
3.74 21.8558 55.777
3.75 21.8923 55.3257
3.76 21.9292 54.878
3.77 21.9666 54.4341
3.78 22.0045 53.9939
3.79 22.0428 53.5573
3.8 22.0815 53.1243
3.81 22.1207 52.6949
3.82 22.1603 52.269
3.83 22.2004 51.8467
3.84 22.2409 51.4278
3.85 22.2819 51.0125
3.86 22.3233 50.6005
3.87 22.3651 50.192
3.88 22.4074 49.7869
3.89 22.4501 49.3851
3.9 22.4932 48.9866
3.91 22.5368 48.5915
3.92 22.5809 48.1996
3.93 22.6253 47.8109
3.94 22.6702 47.4255
3.95 22.7155 47.0433
3.96 22.7613 46.6642
3.97 22.8075 46.2883
3.98 22.8541 45.9155
3.99 22.9011 45.5457
4 22.9486 45.1791
4.01 22.9965 44.8155
4.02 23.0448 44.4548
4.03 23.0936 44.0972
4.04 23.1428 43.7426
4.05 23.1924 43.3908
4.06 23.2424 43.042
4.07 23.2929 42.6961
4.08 23.3438 42.353
4.09 23.3951 42.0128
4.1 23.4468 41.6754
4.11 23.499 41.3408
4.12 23.5516 41.009
4.13 23.6046 40.6799
4.14 23.658 40.3536
4.15 23.7119 40.0299
4.16 23.7662 39.709
4.17 23.8209 39.3907
4.18 23.876 39.075
4.19 23.9316 38.7619
4.2 23.9875 38.4515
4.21 24.0439 38.1436
4.22 24.1007 37.8383
4.23 24.158 37.5355
4.24 24.2156 37.2352
4.25 24.2737 36.9374
4.26 24.3322 36.642
4.27 24.3911 36.3491
4.28 24.4504 36.0586
4.29 24.5102 35.7706
4.3 24.5704 35.4849
4.31 24.631 35.2016
4.32 24.692 34.9206
4.33 24.7534 34.642
4.34 24.8153 34.3657
4.35 24.8776 34.0916
4.36 24.9403 33.8199
4.37 25.0034 33.5504
4.38 25.0669 33.2831
4.39 25.1309 33.018
4.4 25.1953 32.7551
4.41 25.2601 32.4944
4.42 25.3253 32.2359
4.43 25.391 31.9795
4.44 25.457 31.7252
4.45 25.5235 31.473
4.46 25.5904 31.2229
4.47 25.6578 30.9749
4.48 25.7255 30.729
4.49 25.7937 30.485
4.5 25.8623 30.2431
4.51 25.9314 30.0032
4.52 26.0008 29.7653
4.53 26.0707 29.5294
4.54 26.141 29.2954
4.55 26.2117 29.0633
4.56 26.2829 28.8332
4.57 26.3545 28.6049
4.58 26.4265 28.3786
4.59 26.4989 28.1541
4.6 26.5717 27.9315
4.61 26.645 27.7107
4.62 26.7187 27.4918
4.63 26.7929 27.2746
4.64 26.8674 27.0593
4.65 26.9424 26.8457
4.66 27.0179 26.6339
4.67 27.0937 26.4239
4.68 27.17 26.2155
4.69 27.2467 26.009
4.7 27.3238 25.8041
4.71 27.4014 25.6009
4.72 27.4794 25.3994
4.73 27.5579 25.1995
4.74 27.6367 25.0013
4.75 27.7161 24.8048
4.76 27.7958 24.6098
4.77 27.876 24.4165
4.78 27.9566 24.2248
4.79 28.0376 24.0346
4.8 28.1191 23.8461
4.81 28.201 23.6591
4.82 28.2834 23.4736
4.83 28.3662 23.2896
4.84 28.4494 23.1072
4.85 28.5331 22.9263
4.86 28.6172 22.7469
4.87 28.7018 22.5689
4.88 28.7868 22.3924
4.89 28.8722 22.2174
4.9 28.9581 22.0438
4.91 29.0444 21.8717
4.92 29.1312 21.701
4.93 29.2184 21.5317
4.94 29.3061 21.3637
4.95 29.3942 21.1972
4.96 29.4827 21.032
4.97 29.5717 20.8682
4.98 29.6612 20.7058
4.99 29.7511 20.5446
5 29.8415 20.3849
5.01 29.9323 20.2264
5.02 30.0235 20.0692
5.03 30.1152 19.9133
5.04 30.2074 19.7587
5.05 30.3 19.6054
5.06 30.3931 19.4534
5.07 30.4866 19.3026
5.08 30.5806 19.153
5.09 30.6751 19.0047
5.1 30.77 18.8575
5.11 30.8653 18.7116
5.12 30.9612 18.5669
5.13 31.0575 18.4234
5.14 31.1542 18.2811
5.15 31.2514 18.1399
5.16 31.3491 17.9999
5.17 31.4472 17.8611
5.18 31.5459 17.7233
5.19 31.6449 17.5868
5.2 31.7445 17.4513
5.21 31.8445 17.317
5.22 31.945 17.1837
5.23 32.0459 17.0516
5.24 32.1474 16.9205
5.25 32.2493 16.7905
5.26 32.3516 16.6616
5.27 32.4545 16.5337
5.28 32.5578 16.4069
5.29 32.6616 16.2811
5.3 32.7659 16.1564
5.31 32.8707 16.0327
5.32 32.9759 15.9099
5.33 33.0816 15.7882
5.34 33.1878 15.6675
5.35 33.2945 15.5478
5.36 33.4017 15.4291
5.37 33.5093 15.3113
5.38 33.6175 15.1945
5.39 33.7261 15.0787
5.4 33.8352 14.9638
5.41 33.9448 14.8498
5.42 34.0549 14.7368
5.43 34.1655 14.6247
5.44 34.2766 14.5135
5.45 34.3882 14.4033
5.46 34.5003 14.2939
5.47 34.6128 14.1854
5.48 34.7259 14.0778
5.49 34.8395 13.9711
5.5 34.9536 13.8653
5.51 35.0681 13.7603
5.52 35.1832 13.6562
5.53 35.2988 13.553
5.54 35.4149 13.4505
5.55 35.5314 13.3489
5.56 35.6485 13.2482
5.57 35.7661 13.1483
5.58 35.8843 13.0491
5.59 36.0029 12.9508
5.6 36.122 12.8533
5.61 36.2417 12.7566
5.62 36.3618 12.6607
5.63 36.4825 12.5656
5.64 36.6037 12.4712
5.65 36.7254 12.3776
5.66 36.8477 12.2848
5.67 36.9704 12.1927
5.68 37.0937 12.1013
5.69 37.2175 12.0108
5.7 37.3418 11.9209
5.71 37.4667 11.8318
5.72 37.5921 11.7434
5.73 37.718 11.6557
5.74 37.8444 11.5688
5.75 37.9714 11.4825
5.76 38.0989 11.397
5.77 38.2269 11.3121
5.78 38.3555 11.2279
5.79 38.4846 11.1444
