Time nR nF
5.79 1321.3 214.19
5.8 1323.75 215.097
5.81 1326.19 216.013
5.82 1328.63 216.938
5.83 1331.06 217.873
5.84 1333.48 218.817
5.85 1335.89 219.77
5.86 1338.29 220.733
5.87 1340.69 221.705
5.88 1343.07 222.687
5.89 1345.45 223.678
5.9 1347.82 224.68
5.91 1350.18 225.691
5.92 1352.52 226.712
5.93 1354.86 227.742
5.94 1357.19 228.783
5.95 1359.51 229.834
5.96 1361.82 230.896
5.97 1364.12 231.967
5.98 1366.4 233.049
5.99 1368.68 234.141
6 1370.94 235.244
6.01 1373.2 236.357
6.02 1375.44 237.481
6.03 1377.67 238.615
6.04 1379.88 239.76
6.05 1382.09 240.916
6.06 1384.28 242.083
6.07 1386.46 243.261
6.08 1388.63 244.45
6.09 1390.78 245.65
6.1 1392.92 246.861
6.11 1395.05 248.084
6.12 1397.16 249.317
6.13 1399.26 250.563
6.14 1401.34 251.819
6.15 1403.41 253.088
6.16 1405.47 254.367
6.17 1407.5 255.659
6.18 1409.53 256.962
6.19 1411.54 258.278
6.2 1413.53 259.605
6.21 1415.51 260.944
6.22 1417.47 262.295
6.23 1419.41 263.659
6.24 1421.34 265.034
6.25 1423.25 266.422
6.26 1425.14 267.822
6.27 1427.01 269.235
6.28 1428.87 270.66
6.29 1430.71 272.098
6.3 1432.53 273.548
6.31 1434.33 275.011
6.32 1436.12 276.487
6.33 1437.88 277.976
6.34 1439.62 279.478
6.35 1441.35 280.992
6.36 1443.06 282.52
6.37 1444.74 284.061
6.38 1446.41 285.615
6.39 1448.05 287.182
6.4 1449.67 288.763
6.41 1451.27 290.356
6.42 1452.85 291.964
6.43 1454.41 293.585
6.44 1455.95 295.219
6.45 1457.46 296.867
6.46 1458.96 298.529
6.47 1460.43 300.205
6.48 1461.87 301.894
6.49 1463.29 303.597
6.5 1464.69 305.314
6.51 1466.07 307.045
6.52 1467.42 308.79
6.53 1468.74 310.55
6.54 1470.05 312.323
6.55 1471.32 314.11
6.56 1472.57 315.912
6.57 1473.8 317.728
6.58 1475 319.558
6.59 1476.17 321.403
6.6 1477.32 323.262
6.61 1478.44 325.135
6.62 1479.53 327.023
6.63 1480.6 328.926
6.64 1481.64 330.843
6.65 1482.65 332.775
6.66 1483.63 334.721
6.67 1484.58 336.682
6.68 1485.51 338.657
6.69 1486.41 340.647
6.7 1487.27 342.652
6.71 1488.11 344.672
6.72 1488.92 346.706
6.73 1489.7 348.756
6.74 1490.45 350.82
6.75 1491.16 352.898
6.76 1491.85 354.992
6.77 1492.51 357.1
6.78 1493.13 359.224
6.79 1493.72 361.362
6.8 1494.29 363.515
6.81 1494.82 365.682
6.82 1495.31 367.865
6.83 1495.78 370.062
6.84 1496.21 372.274
6.85 1496.61 374.501
6.86 1496.97 376.743
6.87 1497.3 378.999
6.88 1497.6 381.271
6.89 1497.86 383.556
6.9 1498.09 385.857
6.91 1498.29 388.172
6.92 1498.45 390.502
6.93 1498.57 392.846
6.94 1498.66 395.205
6.95 1498.71 397.578
6.96 1498.73 399.965
6.97 1498.72 402.367
6.98 1498.66 404.783
6.99 1498.57 407.214
7 1498.45 409.658
7.01 1498.28 412.117
7.02 1498.08 414.589
7.03 1497.85 417.076
7.04 1497.57 419.576
7.05 1497.26 422.09
7.06 1496.91 424.618
7.07 1496.52 427.16
7.08 1496.1 429.714
7.09 1495.63 432.283
7.1 1495.13 434.864
7.11 1494.59 437.459
7.12 1494.01 440.066
7.13 1493.39 442.687
7.14 1492.74 445.32
7.15 1492.04 447.966
7.16 1491.3 450.624
7.17 1490.53 453.295
7.18 1489.72 455.978
7.19 1488.86 458.673
7.2 1487.97 461.38
7.21 1487.04 464.098
7.22 1486.06 466.828
7.23 1485.05 469.57
7.24 1484 472.323
7.25 1482.9 475.087
7.26 1481.77 477.861
7.27 1480.6 480.647
7.28 1479.38 483.442
7.29 1478.13 486.248
7.3 1476.83 489.065
7.31 1475.5 491.891
7.32 1474.12 494.726
7.33 1472.7 497.571
7.34 1471.25 500.425
7.35 1469.75 503.288
7.36 1468.21 506.16
7.37 1466.63 509.04
7.38 1465.01 511.929
7.39 1463.35 514.825
7.4 1461.65 517.729
7.41 1459.91 520.641
7.42 1458.13 523.559
7.43 1456.31 526.485
7.44 1454.44 529.417
7.45 1452.54 532.355
7.46 1450.6 535.3
7.47 1448.62 538.25
7.48 1446.59 541.206
7.49 1444.53 544.166
7.5 1442.43 547.132
7.51 1440.29 550.102
7.52 1438.11 553.076
7.53 1435.88 556.054
7.54 1433.62 559.036
7.55 1431.32 562.02
7.56 1428.99 565.008
7.57 1426.61 567.998
7.58 1424.19 570.99
7.59 1421.74 573.984
7.6 1419.25 576.979
7.61 1416.71 579.976
7.62 1414.15 582.973
7.63 1411.54 585.97
7.64 1408.9 588.967
7.65 1406.21 591.964
7.66 1403.5 594.961
7.67 1400.74 597.955
7.68 1397.95 600.949
7.69 1395.12 603.94
7.7 1392.26 606.929
7.71 1389.36 609.915
7.72 1386.43 612.898
7.73 1383.46 615.878
7.74 1380.46 618.853
7.75 1377.42 621.824
7.76 1374.34 624.791
7.77 1371.24 627.752
7.78 1368.1 630.707
7.79 1364.93 633.656
7.8 1361.72 636.599
7.81 1358.48 639.535
7.82 1355.21 642.463
7.83 1351.91 645.384
7.84 1348.58 648.296
7.85 1345.21 651.2
7.86 1341.82 654.094
7.87 1338.39 656.979
7.88 1334.94 659.854
7.89 1331.46 662.719
7.9 1327.94 665.573
7.91 1324.4 668.416
7.92 1320.84 671.246
7.93 1317.24 674.065
7.94 1313.62 676.871
7.95 1309.96 679.664
7.96 1306.29 682.444
7.97 1302.59 685.209
7.98 1298.86 687.961
7.99 1295.11 690.697
8 1291.33 693.419
8.01 1287.53 696.124
8.02 1283.7 698.814
8.03 1279.86 701.487
8.04 1275.99 704.143
8.05 1272.09 706.782
8.06 1268.18 709.403
8.07 1264.25 712.005
8.08 1260.29 714.589
8.09 1256.32 717.154
8.1 1252.32 719.7
8.11 1248.31 722.226
8.12 1244.28 724.731
8.13 1240.23 727.216
8.14 1236.16 729.679
8.15 1232.08 732.121
8.16 1227.98 734.542
8.17 1223.86 736.94
8.18 1219.73 739.315
8.19 1215.59 741.667
8.2 1211.43 743.996
8.21 1207.25 746.301
8.22 1203.06 748.582
8.23 1198.86 750.838
8.24 1194.65 753.07
8.25 1190.43 755.276
8.26 1186.19 757.457
8.27 1181.95 759.611
8.28 1177.69 761.74
8.29 1173.43 763.842
8.3 1169.15 765.917
8.31 1164.87 767.965
8.32 1160.58 769.985
8.33 1156.28 771.978
8.34 1151.98 773.942
8.35 1147.67 775.878
8.36 1143.35 777.785
8.37 1139.03 779.663
8.38 1134.7 781.512
8.39 1130.37 783.332
8.4 1126.04 785.121
8.41 1121.7 786.881
8.42 1117.36 788.61
8.43 1113.02 790.309
8.44 1108.67 791.977
8.45 1104.32 793.614
8.46 1099.98 795.22
8.47 1095.63 796.795
8.48 1091.28 798.338
8.49 1086.94 799.849
8.5 1082.59 801.328
8.51 1078.25 802.775
8.52 1073.9 804.19
8.53 1069.57 805.572
8.54 1065.23 806.922
8.55 1060.9 808.238
8.56 1056.57 809.522
8.57 1052.24 810.773
8.58 1047.92 811.991
8.59 1043.61 813.176
8.6 1039.3 814.327
8.61 1035 815.444
8.62 1030.7 816.528
8.63 1026.41 817.579
8.64 1022.13 818.595
8.65 1017.85 819.578
8.66 1013.59 820.527
8.67 1009.33 821.442
8.68 1005.08 822.323
8.69 1000.84 823.17
8.7 996.609 823.983
8.71 992.388 824.762
8.72 988.178 825.507
8.73 983.979 826.218
8.74 979.79 826.895
8.75 975.614 827.538
8.76 971.448 828.146
8.77 967.295 828.721
8.78 963.154 829.262
8.79 959.026 829.769
8.8 954.911 830.241
8.81 950.81 830.68
8.82 946.722 831.086
8.83 942.647 831.457
8.84 938.587 831.795
8.85 934.542 832.099
8.86 930.511 832.37
8.87 926.496 832.607
8.88 922.495 832.811
8.89 918.51 832.982
8.9 914.541 833.119
8.91 910.588 833.224
8.92 906.652 833.296
8.93 902.731 833.335
8.94 898.828 833.341
8.95 894.941 833.315
8.96 891.072 833.257
8.97 887.22 833.167
8.98 883.386 833.044
8.99 879.569 832.89
9 875.771 832.704
9.01 871.991 832.486
9.02 868.228 832.238
9.03 864.485 831.958
9.04 860.76 831.647
9.05 857.054 831.305
9.06 853.367 830.933
9.07 849.699 830.53
9.08 846.051 830.097
9.09 842.422 829.635
9.1 838.812 829.142
9.11 835.222 828.62
9.12 831.652 828.069
9.13 828.102 827.488
9.14 824.572 826.879
9.15 821.062 826.241
9.16 817.573 825.574
9.17 814.104 824.88
9.18 810.655 824.157
9.19 807.227 823.407
9.2 803.819 822.63
9.21 800.433 821.825
9.22 797.067 820.993
9.23 793.721 820.135
9.24 790.397 819.25
9.25 787.094 818.339
9.26 783.812 817.402
9.27 780.551 816.44
9.28 777.311 815.452
9.29 774.092 814.439
9.3 770.894 813.401
9.31 767.718 812.339
9.32 764.563 811.252
9.33 761.43 810.141
9.34 758.317 809.007
9.35 755.226 807.849
9.36 752.157 806.668
9.37 749.109 805.464
9.38 746.082 804.237
9.39 743.077 802.988
9.4 740.093 801.717
9.41 737.131 800.424
9.42 734.19 799.11
9.43 731.27 797.774
9.44 728.372 796.418
9.45 725.496 795.041
9.46 722.64 793.643
9.47 719.806 792.226
9.48 716.994 790.788
9.49 714.203 789.331
9.5 711.433 787.855
9.51 708.684 786.36
9.52 705.956 784.846
9.53 703.25 783.314
9.54 700.565 781.764
9.55 697.901 780.196
9.56 695.258 778.611
9.57 692.636 777.008
9.58 690.036 775.388
9.59 687.456 773.752
9.6 684.897 772.099
9.61 682.359 770.431
